game_id,season,week,start_date,team,side,opponent,is_ap_ranked,ap_rank,pregame_elo,pregame_elo_rank,elo_source,fbs_field_size,timing_status,strength_score,strength_tier,top_percent
400756901,2015,1,2015-09-05T22:00:00.000Z,NC State,home,Troy,False,,1543,55,GAME_PREGAME,128,PREGAME_SAFE,57,Above Average,44
400756901,2015,1,2015-09-05T22:00:00.000Z,Troy,away,NC State,False,,1210,122,GAME_PREGAME,128,PREGAME_SAFE,5,Weak,96
400756900,2015,1,2015-09-05T22:00:00.000Z,Miami,home,Bethune-Cookman,False,,1589,42,WEEKLY_CARRY,128,PREGAME_SAFE,68,Above Average,33
400787414,2015,1,2015-09-05T22:00:00.000Z,South Alabama,home,Gardner-Webb,False,,1371,93,WEEKLY_CARRY,128,PREGAME_SAFE,28,Below Average,73
400764857,2015,1,2015-09-05T22:00:00.000Z,East Carolina,home,Towson,False,,1594,40,WEEKLY_CARRY,128,PREGAME_SAFE,69,Above Average,32
400764861,2015,1,2015-09-05T23:00:00.000Z,South Florida,home,Florida A&M,False,,1336,100,WEEKLY_CARRY,128,PREGAME_SAFE,22,Weak,79
400763590,2015,1,2015-09-05T23:00:00.000Z,Middle Tennessee,home,Jackson State,False,,1375,92,WEEKLY_CARRY,128,PREGAME_SAFE,28,Below Average,73
400763589,2015,1,2015-09-05T23:00:00.000Z,Louisiana Tech,home,Southern,False,,1701,21,WEEKLY_CARRY,128,PREGAME_SAFE,84,Strong,17
400764859,2015,1,2015-09-05T23:00:00.000Z,Memphis,home,Missouri State,False,,1603,37,WEEKLY_CARRY,128,PREGAME_SAFE,71,Above Average,30
400603832,2015,1,2015-09-05T23:00:00.000Z,Kentucky,home,Louisiana,False,,1401,88,GAME_PREGAME,128,PREGAME_SAFE,31,Below Average,70
400603832,2015,1,2015-09-05T23:00:00.000Z,Louisiana,away,Kentucky,False,,1453,76,GAME_PREGAME,128,PREGAME_SAFE,41,Below Average,60
400763404,2015,1,2015-09-05T23:00:00.000Z,Oklahoma,home,Akron,True,19,1664,28,GAME_PREGAME,128,PREGAME_SAFE,79,Strong,22
400763404,2015,1,2015-09-05T23:00:00.000Z,Akron,away,Oklahoma,False,,1314,105,GAME_PREGAME,128,PREGAME_SAFE,18,Weak,83
400603838,2015,1,2015-09-05T23:00:00.000Z,Texas A&M,home,Arizona State,False,,1628,33,GAME_PREGAME,128,PREGAME_SAFE,75,Strong,26
400603838,2015,1,2015-09-05T23:00:00.000Z,Arizona State,away,Texas A&M,True,15,1683,25,GAME_PREGAME,128,PREGAME_SAFE,81,Strong,20
400763402,2015,1,2015-09-05T23:10:00.000Z,Kansas State,home,South Dakota,False,,1749,12,WEEKLY_CARRY,128,PREGAME_SAFE,91,Elite,10
400763407,2015,1,2015-09-05T23:30:00.000Z,West Virginia,home,Georgia Southern,False,,1590,41,GAME_PREGAME,128,PREGAME_SAFE,69,Above Average,32
400763407,2015,1,2015-09-05T23:30:00.000Z,Georgia Southern,away,West Virginia,False,,1491,66,GAME_PREGAME,128,PREGAME_SAFE,49,Below Average,52
400763403,2015,1,2015-09-05T23:30:00.000Z,Notre Dame,home,Texas,True,11,1595,39,GAME_PREGAME,128,PREGAME_SAFE,70,Above Average,31
400763403,2015,1,2015-09-05T23:30:00.000Z,Texas,away,Notre Dame,False,,1564,50,GAME_PREGAME,128,PREGAME_SAFE,61,Above Average,40
400787115,2015,1,2015-09-05T23:30:00.000Z,Northern Illinois,home,UNLV,False,,1513,61,GAME_PREGAME,128,PREGAME_SAFE,53,Above Average,48
400787115,2015,1,2015-09-05T23:30:00.000Z,UNLV,away,Northern Illinois,False,,1233,120,GAME_PREGAME,128,PREGAME_SAFE,6,Weak,95
400603830,2015,1,2015-09-05T23:30:00.000Z,Florida,home,New Mexico State,False,,1661,29,GAME_PREGAME,128,PREGAME_SAFE,78,Strong,23
400603830,2015,1,2015-09-05T23:30:00.000Z,New Mexico State,away,Florida,False,,1100,126,GAME_PREGAME,128,PREGAME_SAFE,2,Weak,99
400603827,2015,1,2015-09-06T00:00:00.000Z,Alabama,home,Wisconsin,True,3,1920,4,GAME_PREGAME,128,PREGAME_SAFE,98,Elite,3
400603827,2015,1,2015-09-06T00:00:00.000Z,Wisconsin,away,Alabama,True,20,1731,18,GAME_PREGAME,128,PREGAME_SAFE,87,Strong,14
400763400,2015,1,2015-09-06T00:00:00.000Z,Iowa State,home,Northern Iowa,False,,1337,99,WEEKLY_CARRY,128,PREGAME_SAFE,23,Weak,78
400791346,2015,1,2015-09-06T00:00:00.000Z,San Diego State,home,San Diego,False,,1506,62,WEEKLY_CARRY,128,PREGAME_SAFE,52,Above Average,49
400764858,2015,1,2015-09-06T00:00:00.000Z,Houston,home,Tennessee Tech,False,,1563,51,WEEKLY_CARRY,128,PREGAME_SAFE,61,Above Average,40
400756886,2015,1,2015-09-06T00:00:00.000Z,Oregon,home,Eastern Washington,True,7,1936,3,WEEKLY_CARRY,128,PREGAME_SAFE,98,Elite,3
400787114,2015,1,2015-09-06T00:05:00.000Z,New Mexico,home,Mississippi Valley State,False,,1304,110,WEEKLY_CARRY,128,PREGAME_SAFE,14,Weak,87
400764856,2015,1,2015-09-06T00:45:00.000Z,Cincinnati,home,Alabama A&M,False,,1583,43,WEEKLY_CARRY,128,PREGAME_SAFE,67,Above Average,34
400756899,2015,1,2015-09-06T01:03:00.000Z,Florida State,home,Texas State,True,10,1779,9,GAME_PREGAME,128,PREGAME_SAFE,94,Elite,7
400756899,2015,1,2015-09-06T01:03:00.000Z,Texas State,away,Florida State,False,,1379,90,GAME_PREGAME,128,PREGAME_SAFE,30,Below Average,71
400603836,2015,1,2015-09-06T02:00:00.000Z,Southern Miss,home,Mississippi State,False,,1177,123,GAME_PREGAME,128,PREGAME_SAFE,4,Weak,97
400603836,2015,1,2015-09-06T02:00:00.000Z,Mississippi State,away,Southern Miss,False,,1759,11,GAME_PREGAME,128,PREGAME_SAFE,92,Elite,9
400756884,2015,1,2015-09-06T03:00:00.000Z,USC,home,Arkansas State,True,8,1747,14,GAME_PREGAME,128,PREGAME_SAFE,89,Strong,12
400756884,2015,1,2015-09-06T03:00:00.000Z,Arkansas State,away,USC,False,,1473,72,GAME_PREGAME,128,PREGAME_SAFE,44,Below Average,57
